"","set","marker","ch","dye","x_min","x_max"
"1","set1","smms2",1,"FAM",219,295
"2","set1","smms13",4,"PET",171,228
"3","set1","smms16",2,"VIC",201,258
"4","set2","smms3",1,"FAM",159,216
"5","set2","smms17",2,"VIC",271,328
"6","set2","smms18",2,"VIC",188,245
"7","set2","smms21",4,"PET",160,217
"8","set4","sm13taga",1,"FAM",86,162
"9","set4","sm13-410",4,"PET",179,236
"10","set4","sm1f8a",2,"VIC",137,194
"11","set4","smda23",3,"NED",175,251
"12","set5","sm29e6a",1,"FAM",150,207
"13","set5","sm13-478",1,"FAM",209,266
"14","set5","smu31768",3,"NED",179,236
"15","set5","sm15j15a",2,"VIC",193,250
"16","set6","lg3_sc36b",3,"NED",223,280
"17","set6","sc23b",3,"NED",179,236
"18","set6","smd28",1,"FAM",228,285
"19","set7","l46951",1,"FAM",150,207
"20","set7","r95529",3,"NED",216,273
"21","set7","lg1_sc276",1,"FAM",71,128
"22","set7","lg5_sc475",4,"PET",269,326
